City,Lat,Long,CompositeIndex,GroceryItems,Housing,Utilities,Transportation,HealthCare,Miscellaneous
"Anniston-Calhoun, County, AL",33.6598257,-85.8316318,91.2,101.2,74.8,111.2,88.8,89.3,96.6
Akron OH,41.0814447,-81.5190053,100.2,105.1,99.7,107.9,107.1,86.8,96
"Albany, GA",31.5785074,-84.155741,90.1,108.7,74.8,82,96.6,89.8,96.8
"Albany, NY",42.6525793,-73.7562317,108.1,105,112.6,101,102.8,111.7,108.6
"Alexandria, LA",31.3112936,-92.4451371,95.1,96,92.7,89.9,97.2,92.9,98.2
"Amarillo, TX",35.2219971,-101.8312969,89.5,89.9,89.4,80.4,92.1,95.2,90.8
"Americus, GA",32.0723861,-84.2326876,88.3,105.5,71,88.2,99.8,103.7,91.3
"Ames, IA",42.02335,-93.625622,96.8,93.7,104.8,82.3,101.8,98.4,93.7
"Anchorage, AK",61.2180556,-149.9002778,128.4,134.5,142.9,94.1,122,135.7,124.8
"Anderson, SC",34.5034394,-82.6501332,91.8,103.4,77,101.6,92.3,99.7,95.9
"Appleton, WI",44.2619309,-88.4153847,93.3,93,81.8,102.3,104.4,104.7,96
"Ardmore, OK",34.1742611,-97.1436254,87.3,92.9,77.3,84.8,101.3,93.7,89.8
"Arlington, TX",32.735687,-97.1080656,99.3,94.4,89.4,109.9,98.3,105.4,106.4
"Asheville, NC",35.6009452,-82.554015,101.1,104.6,97.8,113.1,94.2,104.7,100.6
"Ashland, OH",40.8686675,-82.3182178,88.5,100.7,72.1,92.1,98.2,88.8,94.2
"Atlanta, GA",33.7489954,-84.3879824,95.6,96.2,90.7,86.3,99.3,103.3,100.3
"Auburn-Opelika, AL",32.6090979,-85.4403794,98.9,104.6,90.2,101.3,92.9,88.4,106.5
"Augusta-Aiken, GA-SC",33.474246,-82.00967,93.2,106,79.4,92.1,93.9,101.4,99.4
"Austin, TX",30.267153,-97.7430608,95.5,89.3,85.1,110.7,100.2,100.3,100.4
"Bakersfield, CA",35.3732921,-119.0187125,103.4,107.6,98.4,104.3,111.3,107.2,103.1
"Baltimore, MD",39.2903848,-76.6121893,119.4,110.8,155.4,112.5,105.3,97.9,100
"Baton, Rouge, LA",30.4582829,-91.1403196,96.1,100.4,102.2,78.2,90.4,97.7,95.8
"Beaufort, SC",32.4315813,-80.6698286,105.2,106.9,103.5,114.3,99.6,95.7,106
"Beaumont, TX",30.080174,-94.1265562,95.7,87.1,95.9,92.5,100.4,98.7,98.1
"Bellingham, WA",48.7595529,-122.4882249,113,114.9,135.9,83.8,113.2,115.3,100.8
"Bergen-Passaic, NJ",40.8567662,-74.1284764,131.3,112.1,174,128.9,102.4,106.3,113.8
"Bethesda-Gaithersburg-Frederick, MD",38.996934,-77.0964484,130.5,108.5,184.2,120.6,110.1,104,104.4
"Binghamton, NY",42.0986867,-75.9179738,98.4,92.4,92.6,112.8,104.4,114.3,97.7
"Birmingham, AL",33.5206608,-86.80249,90.8,93.5,73.2,105.7,93.5,87.9,100.3
"Bismarck-Mandan, ND",46.8266603,-100.8895761,95.3,105.9,91.5,70.1,102.6,100.5,99.4
"Blacksburg, VA",37.2295733,-80.4139393,95,91.5,94.9,102.3,91.1,97.5,95.1
"Boise, ID",43.613739,-116.237651,97.2,98.5,84,99.6,108,106.6,103.3
"Boston, MA",42.3584308,-71.0597732,132.5,116.7,152.7,138.6,104.5,123.5,128.6
"Bowling, Green, KY",36.9903199,-86.4436018,90.7,93.3,78.2,104.3,96.7,95.8,94
"Bozeman, MT",45.6834599,-111.050499,102,107.3,101.8,89.1,101.6,102.4,104
"Bradenton, FL",27.4989278,-82.5748194,95.8,106.6,90.2,90.4,101.3,98.8,96.1
"Brazoria, County, TX",29.2131857,-95.4777811,89.3,87.9,75.8,100.8,96,95.6,95.6
"Brownsville, TX",25.9017472,-97.4974838,85.8,88.6,71,93.1,95,96.5,91.4
"Buffalo, NY",42.8864468,-78.8783689,95.8,91.8,97.4,115.6,104.8,92,87.6
"Burlington, IA",40.8080556,-91.1158333,97,93.8,94.6,108.6,98.6,89.9,97.1
"Burlington, NC",36.0956918,-79.4377991,94.6,98.6,86,82.3,97.5,102.5,102.5
"Burlington-Chittenden, Co, VT",44.4758825,-73.212072,120.5,112.9,138.7,122.2,102.5,104.6,114.2
"Camden, SC",34.2465393,-80.6070237,97.4,103.4,87.8,107.5,86,93.1,104.3
"Cape, Coral-Fort, Myers, FL",26.6630286,-81.9534815,95.6,107.9,87.5,83.7,103,98.7,98.9
"Carlsbad, NM",32.4206736,-104.2288375,95.4,102.6,86.6,99.3,95.3,96,98.9
"Cedar, City, UT",37.6774769,-113.0618931,88.7,102.5,73.9,83.7,97.8,85.5,95.5
"Cedar, Rapids, IA",41.9778795,-91.6656232,92,94.8,79.1,101.6,97.1,94.4,97.5
"Champaign-Urbana, IL",40.1105875,-88.2072697,96.9,98.5,90.8,97.1,98.2,100.5,100.7
"Chapel, Hill, NC",35.9131996,-79.0558445,113,100.9,127,85.7,122.8,105.8,112.1
"Charleston, WV",38.3498195,-81.6326234,92.7,88.8,89.3,96.7,102.9,93.9,92.9
"Charleston-N, Charleston, SC",32.8546197,-79.9748103,98.3,105.7,92.6,96.6,93.9,104.4,101.5
"Charlotte, NC",35.2270869,-80.8431267,93.2,97.1,79.5,91.2,95.7,110.3,101.4
"Charlottesville, VA",38.0293059,-78.4766781,107,101.2,122.6,100.8,90.6,94.5,104
"Chattanooga, TN",35.0456297,-85.3096801,91.1,97.4,84,82.5,96.4,93.3,95.7
"Cheyenne, WY",41.1399814,-104.8202462,100.5,101.7,107.9,96.3,95,98.3,96.5
"Chicago, IL",41.8781136,-87.6297982,116.9,111.2,134.8,117.3,116.5,108.5,104.4
"Cincinnati, OH",39.1031182,-84.5120196,93.8,96.4,81.9,103.8,98,95.8,98.7
"Clarksburg, WV",39.2806451,-80.3445341,95,95.2,93.1,92.2,103.8,89.5,95.5
"Clarksville, TN",36.5297706,-87.3594528,93,87.9,86,86.5,93.9,98.7,102.3
"Cleveland, OH",41.4994954,-81.6954088,101,108.1,93.3,109,101.4,104.3,102.1
"Cleveland, TN",35.1595182,-84.8766115,93.4,101.6,87.7,103.4,91.9,91.3,92.9
"Colorado, Springs, CO",38.8338816,-104.8213634,92.8,95.4,92,86.8,96.2,102.3,92.1
"Columbia, MO",38.9517053,-92.3340724,91.8,92.6,81.4,90.4,96.3,96.4,99.1
"Columbia, SC",34.0007104,-81.0348144,100.4,105.2,82.3,109,102,106.2,110.6
"Columbus, OH",39.9611755,-82.9987942,92,91.6,86.2,100.2,99.1,107.7,90.6
"Conroe, TX",30.3118769,-95.4560512,91.4,89.4,80.1,96.1,93.8,95,99.7
"Conway, AR",35.0886963,-92.4421011,86.6,97.9,78.8,92,96.6,89.8,84
"Cookeville, TN",36.162839,-85.5016423,85.7,86.7,71.4,82.9,87.5,87.1,98.2
"Corpus, Christi, TX",27.8005828,-97.396381,90.8,82.4,79.6,113.5,93.3,92.8,96
"Covington, KY",39.0836712,-84.5085536,87.8,86,76.8,100.2,99.9,90.6,90.3
"Dallas, TX",32.802955,-96.769923,91.9,96.2,70.7,105.5,100.9,103.8,100.4
"Danville, IL",40.124481,-87.6300207,91.1,94.6,74.2,116.4,109.3,95.8,90.7
"Dare, County, NC",35.6549619,-75.6208088,107.3,111.7,116.7,92.9,110.2,111.7,100.4
"Davenport-Moline-Rock, Is, IA-IL",41.4403733,-90.4502368,96.8,98.7,98.7,81.4,104.3,97.9,96.8
"Dayton, OH",39.7589478,-84.1916069,91.4,89.2,74.5,106.1,103.1,93.2,99
"Decatur, IL",39.8403147,-88.9548001,91.4,89.1,88.2,92.2,96.7,91.9,93.3
"Decatur-Hartselle, AL",34.4434282,-86.9352842,89.2,98.5,74.2,90.6,96.7,85.5,96.6
"Denver, CO",39.737567,-104.9847179,103.2,101,107.5,101.9,95.4,105.9,102.7
"Des, Moines, IA",41.6005448,-93.6091064,90.9,90.9,89.6,90.2,95.9,90.8,90.9
"Detroit, MI",42.331427,-83.0457538,99.4,92.7,95.2,129.5,101.3,94.2,96.6
"Dodge, City, KS",37.7527982,-100.0170787,89.3,90,77.6,85.5,95.6,89.9,98.5
"Dothan, AL",31.2232313,-85.3904888,89.8,100.3,80.1,79.7,91.8,81.7,97.9
"Douglas, GA",31.5088073,-82.8498654,88.6,104.1,68.5,97.9,89.3,91.3,96.6
"Dover, DE",39.158168,-75.5243682,99.7,110.4,90.9,108.8,97.5,103,100.7
"Dubuque, IA",42.5005583,-90.6645718,95.9,98.1,86.5,105.2,99.5,96.5,99.5
"Durham, NC",35.9940329,-78.898619,96.6,97.9,86.8,96.3,105.5,108.5,100.6
"Dutchess, County, NY",41.7784372,-73.7477857,120.4,109.8,141.3,118.8,109.3,110.4,111.1
"Dyersburg, TN",36.0345159,-89.3856281,88.6,93.4,73.8,95.2,92.9,86.3,96.7
"Eau, Claire, WI",44.811349,-91.4984941,93.7,97.6,90.5,84.8,103.1,105.5,93.5
"Edmond, OK",35.6528323,-97.4780954,91.6,88.7,82.8,90.2,97.7,94.3,98.9
"El, Paso, TX",31.7587198,-106.4869314,90.4,99.9,86,88.1,97,95.4,88.5
"Elkhart-Goshen, IN",41.5822716,-85.8344383,94,91.4,92.7,84.5,99.7,92.8,97.5
"Enid, OK",36.3955891,-97.8783911,93.6,103.5,77.4,96.1,99.5,99.5,100.7
"Erie, PA",42.1292241,-80.085059,92.1,96.4,91.1,96,98.4,91.2,88.4
"Eugene, OR",44.0520691,-123.0867536,109.8,93.8,132.3,85.3,110,118.2,102.9
"Evansville, IN",37.9715592,-87.5710898,96.2,97.9,86.3,120,97.1,97.4,96.4
"Everett, WA",47.9789848,-122.2020794,111.3,112,128.1,85.4,110.4,129.1,102.1
"Fairbanks, AK",64.8377778,-147.7163889,137.4,127.9,148.5,193.1,118.7,144.9,118.8
"Fargo-Moorhead, ND-MN",46.8419883,-96.7168313,92.7,99.8,87.4,78.7,95.8,102.4,96.6
"Farmington, NM",36.7280583,-108.2186856,97,101.8,97.1,87.1,96.4,98.6,98.2
"Fayetteville, AR",36.0625795,-94.1574263,92.1,95.3,77.3,99.8,95.2,92.7,100.6
"Fayetteville, NC",35.0526641,-78.8783585,95.2,105.1,82.5,92.8,96,117.9,100.1
"Findlay, OH",41.04422,-83.6499321,94.3,102.3,77,95.8,100.6,91.2,104.3
"Fitchburg-Leominster, MA",42.51969,-71.7741103,103.3,99.3,97.1,140.6,99.9,112.3,98.6
"Flagstaff, AZ",35.2013516,-111.639249,114.9,106.6,149.3,92.5,105.5,100,99.5
"Florence, AL",34.79981,-87.677251,90.2,96.6,79.6,91,94.5,84.1,96.3
"Fort, Lauderdale, FL",26.1223084,-80.1433786,115.7,112.5,144,92.5,106.3,102.4,103.7
"Fort, Smith, AR",35.3859242,-94.3985475,86.1,92.5,74.5,90.5,87.9,87.5,91.7
"Fort, Wayne-Allen, County, IN",41.079273,-85.1393513,94.4,93.3,89.3,87.3,106.9,93.4,98
"Fort, Worth, TX",32.725409,-97.3208496,91.1,89.8,78,106.2,97.6,93.8,96.1
"Framingham-Natick, MA",42.2775281,-71.3468091,134.5,109.4,177.2,131.9,105,116.1,118.8
"Fresno, CA",36.7468422,-119.7725868,117.3,115.8,131.2,123.6,114.5,106.8,105.9
"Gainesville, FL",29.6516344,-82.3248262,99.8,106.3,101.8,99.2,103.3,92.7,95.5
"Galesburg, IL",40.9478158,-90.3712395,93,99.7,80,103.1,96.1,97.3,97.2
"Garden, City, KS",37.9716898,-100.8726618,89.7,91.2,79.9,86.5,94,89.6,97.5
"Glens, Falls, NY",43.3095164,-73.6440058,112.3,105.4,105.9,128,107,97.3,119.3
"Glenwood, Springs, CO",39.5505376,-107.3247762,124,103.3,169,89,110.9,112,108.7
"Grand, Junction, CO",39.0638705,-108.5506486,98.3,101.9,105.4,86.4,99.1,103.8,93.1
"Grand, Rapids, MI",42.9633599,-85.6680863,90.7,102.7,77.6,100.6,103.7,94.4,90
"Green, Bay, WI",44.519159,-88.019826,95.1,88.8,83.5,118.6,100.2,105.9,97.7
"Greenville, NC",35.612661,-77.3663538,98.5,105.9,84.4,108.5,97.6,113.5,103.3
"Greenville, SC",34.8526176,-82.3940104,90.3,102.7,72.9,90.1,97.1,98.2,97.7
"Gunnison, CO",38.5458246,-106.9253207,110,110.6,134.5,85.7,99,97.3,100.6
"Hammond, LA",30.5043583,-90.4611995,95.9,99,95.8,84.8,93,97.4,98.9
"Hampton, Roads-SE, Virginia, VA",36.7862239,-76.5488232,111.7,106.6,121.9,108.4,104.1,109.6,108.4
"Harlingen, TX",26.1906306,-97.6961026,82.8,81.5,75.8,105.6,88.7,95.2,79.1
"Harrisburg, PA",40.2737002,-76.8844179,99.7,97.8,91.5,110.5,100.2,93.8,105.1
"Harrisonburg, VA",38.4495688,-78.8689155,97,97.5,96.8,96.8,90.4,100.8,98.6
"Hartford, CT",41.7637111,-72.6850932,121.8,120.7,137.8,120.7,109,113,113.5
"Hastings, NE",40.5862583,-98.3898726,93.4,103.7,89.1,94,87.6,85.8,95.6
"Hattiesburg, MS",31.3271189,-89.2903392,91.9,100.5,74.6,110.3,96.9,95.4,96.2
"Hays, KS",38.8791783,-99.3267702,89.4,92,78.8,92.4,97.5,90.7,94.2
"Hickory, NC",35.7331878,-81.3411974,92.9,101.1,91.3,92.3,86.5,93.8,93
"Hilton, Head, Island, SC",32.216316,-80.752608,114.1,111.4,119.8,100.4,101.6,110.7,118.5
"Honolulu, HI",21.3069444,-157.8583333,165.7,160.1,249,146.6,126.2,120,117.9
"Hot, Springs, AR",34.5037004,-93.0551795,93.8,97.3,85.3,95.7,85.6,84.8,102.9
"Houston, TX",29.7601927,-95.3693896,92.2,85.1,82,97.7,99.2,94.6,99.9
"Huntsville, AL",34.7303688,-86.5861037,91.2,94.9,78.7,86.1,99.7,92,99.8
"Hutchinson, KS",38.0608445,-97.9297743,94,89,92.3,84.4,96.5,94.2,99.6
"Idaho, Falls, ID",43.4916514,-112.0339645,90.6,99.5,78,84.9,102.1,93.2,96.3
"Indiana, County, PA",40.6850762,-79.1096901,93.3,99.7,84.2,97.7,97.7,91.1,96.4
"Indianapolis, IN",39.7685155,-86.1580736,87.2,91.4,73.4,86.7,100.5,93.6,93.1
"Iowa, City, IA",41.6611277,-91.5301683,96.2,94.9,97.3,80.1,102.8,95.4,99
"Ithaca, NY",42.4439614,-76.5018807,102.8,102.9,104.4,110.4,104.7,106.6,98.1
"Jackson, MS",32.2987573,-90.1848103,96.9,93,94,118.1,92,95.7,96.1
"Jackson-Madison, County, TN",35.6145169,-88.8139469,90.2,91.1,74.2,98.9,100,91.5,98.1
"Jacksonville, FL",30.3321838,-81.655651,92.9,102.8,80,91.9,103.6,94.5,97.3
"Jacksonville, NC",34.7540524,-77.4302414,96.5,103.2,88,99.2,97.8,101.2,99.6
"Janesville, WI",42.6827885,-89.0187222,96.2,95,91.3,99.3,99.3,103.1,98.2
"Jefferson, City, MO",38.5767017,-92.1735164,92.9,93.9,78.5,97.6,93.3,95,103.4
"Johnson, City, TN",36.3134397,-82.3534727,86.7,92.3,74.4,89.1,91.7,91.5,92.6
"Johnstown, PA",40.3267407,-78.9219698,92.9,97.7,79.4,101,101.6,90.4,98.1
"Joliet-Will, County, IL",41.525031,-88.0817251,102.2,100.9,102.3,116.1,111.3,106.5,95.2
"Jonesboro, AR",35.8422967,-90.704279,88.9,97.5,75.1,91.1,88.8,85.9,97.3
"Joplin, MO",37.0842271,-94.513281,88.8,92.2,75.9,108.1,91.8,89.5,92
"Juneau, AK",58.3019444,-134.4197222,136.5,133.1,165.7,135.1,121.2,144.4,116.1
"Kalamazoo, MI",42.2917069,-85.5872286,91.2,95.6,81.3,101.8,99.4,92.5,92.4
"Kalispell, MT",48.200531,-114.315102,98.8,116.3,95.5,82,103.6,104.8,97.8
"Kansas, City, MO-KS",39.0653602,-94.5624426,97.8,94.8,89.2,99.8,100.8,97.2,105.1
"Kennewick-Richland-Pasco, WA",46.1093145,-119.1994766,92.6,90.9,85.9,85.1,106.1,109.9,95.2
"Kinston, NC",35.2626635,-77.5816353,93.8,102.5,76.1,108.8,96.7,102.9,99.3
